"","sub","item","cond","seq","trial_type","trial_start","trial_end","target_word_n","target_word","target_changed","Dis_on_t","Dis_off_t","boundary","DC_start_t","DC_end_t","boundary_t","boundarycond","Display_time","Display_lat","sacc_start_t","sacc_end_t","sacc_dur","sacc_start_x","sacc_end_x","sacc_ampl","peak_vel","avg_vel","blink","blink_dur","fix_start_t","fix_end_t","fix_dur","question","corrAns","key_resp","RT_q","accuracy","corr_sacc","jhook"
"45",3,25,"identical",45,"exp_1",3346492,3350717,5,"zor","identical",3347047,3349175,"448",3347965,3347973,3347963,"identical",7.945,2,3347953,3347981,28,417.5,544.8,3.14431,201.305,107.870862068965,"NO",NA,3347982,3348192,210,"Yes","RIGHT","left",1198.861,0,NA,NA
"46",3,30,"ben",46,"exp_1",3352627,3359504,6,"yol","bir",3354676,3357985,"592",3356048,3356057,3356047,"sacc",8.769,1,3356031,3356057,26,515.3,642.7,3.14678,230.944999999999,116.5175,"NO",NA,3356058,3356325,267,"Yes","LEFT","left",1182.843,1,"Yes",NA
"47",3,20,"ben",47,"exp_1",3362247,3365857,4,"tuz","bir",3362952,3365538,"364",3363737,3363745,3363735,"sacc",7.418,2,3363727,3363748,21,346.1,427.4,2.00811,181.545,89.6497727272727,"NO",NA,3363749,3364021,272,"No",NA,NA,NA,NA,"Yes",NA
"48",3,17,"identical",48,"exp_1",3368889,3372428,3,"kar","identical",3369476,3372110,"303",3370647,3370656,3370645,"identical",9,2,3370632,3370661,29,246,400.6,3.81862,342.095,128.687,"NO",NA,3370662,3371052,390,"No",NA,NA,NA,NA,NA,NA
"49",3,51,"identical",49,"exp_1",3374464,3378271,7,"hi?","identical",3374928,3377953,"688",3376597,3376604,3376595,"identical",7,2,3376577,3376605,28,592.5,721.9,3.19618,196.365,108.978103448276,"NO",NA,3376606,3376810,204,"No",NA,NA,NA,NA,NA,NA
"50",3,49,"identical",50,"exp_1",3380314,3384406,5,"top","identical",3380792,3382886,"495",3381872,3381881,3381870,"identical",8.727,2,3381864,3381889,25,486.7,582.9,2.37614,163.020000000001,91.2,"NO",NA,3381890,3382169,279,"Yes","RIGHT","left",1196.757,0,NA,NA
"51",3,4,"ben",51,"exp_1",3386356,3390750,6,"???","bir",3386903,3390439,"461",3387753,3387762,3387751,"sacc",9.077,2,3387738,3387761,23,411.1,503.8,2.28969,184.015,95.1464583333333,"NO",NA,3387762,3388020,258,"No",NA,NA,NA,NA,"Yes",NA
"52",3,21,"identical",52,"exp_1",3392419,3396804,3,"dut","identical",3392989,3394974,"305",3393830,3393836,3393828,"identical",5.295,2,3393988,3394010,22,304.2,384.5,1.98341,175.37,85.5908695652174,"NO",NA,3393827,3393987,160,"Yes","LEFT","left",1502.601,1,NA,NA
"53",3,68,"ben",53,"exp_1",3398786,3402598,8,"onu","ben",3399233,3402278,"712",3401414,3401423,3401412,"sacc",8.644,2,3401400,3401421,21,682,741.6,1.47212,132.145000000001,68.5986363636364,"NO",NA,3401422,3401891,469,"No",NA,NA,NA,NA,"Yes",NA
"54",3,55,"identical",54,"exp_1",3404427,3407316,3,"ipi","identical",3404960,3406995,"318",3405663,3405669,3405661,"identical",5.79,2,3405656,3405681,25,312,419.6,2.65772,201.304999999999,101.6025,"NO",NA,3405682,3405921,239,"No",NA,NA,NA,NA,NA,NA
"55",3,9,"identical",55,"exp_1",3409744,3414753,5,"ku?","identical",3410195,3412735,"436",3411054,3411063,3411053,"identical",8.362,1,3411040,3411059,19,393.9,458.3,1.59068,138.32,77.99025,"NO",NA,3411060,3411391,331,"Yes","LEFT","left",1688.548,1,NA,NA
"56",3,80,"ben",56,"exp_1",3416667,3423173,5,"hep","ben",3418533,3421080,"389",3419433,3419442,3419431,"sacc",9.165,2,3419421,3419444,23,357,436.4,1.96118,149.435,80.58375,"NO",NA,3419445,3419710,265,"Yes","LEFT","left",1763.755,1,"Yes",NA
"57",3,13,"identical",57,"exp_1",3425953,3431093,7,"kar","identical",3426705,3430781,"532",3429417,3429424,3429415,"identical",6.839,2,3429401,3429430,29,465.8,638.8,4.2731,390.26,148.488166666667,"NO",NA,3429431,3429664,233,"No",NA,NA,NA,NA,NA,NA
"58",3,64,"ben",58,"exp_1",3433129,3437804,7,"iyi","ben",3433883,3437488,"665",3435964,3435973,3435962,"fix",8.623,2,3436362,3436385,23,677.4,771.9,2.33415,217.359999999999,96.9989583333333,"NO",NA,3436386,3436624,238,"No",NA,NA,NA,NA,"Yes",NA
"59",3,11,"identical",59,"exp_1",3439785,3448217,8,"?il","identical",3440941,3444781,"676",3442929,3442939,3442927,"identical",9.537,2,3442916,3442944,28,651.3,764.8,2.80345,237.119999999999,96.3725862068966,"NO",NA,3442945,3443135,190,"Yes","LEFT","left",3110.513,1,NA,NA
"60",3,59,"identical",60,"exp_1",3450325,3456062,5,"?ok","identical",3450952,3454991,"448",3452288,3452295,3452286,"identical",6.515,2,3452272,3452293,21,394.4,473.5,1.95377,143.26,87.1236363636364,"NO",NA,3452294,3452504,210,"Yes","RIGHT","left",745.004,0,NA,NA
"61",3,2,"ben",61,"exp_1",3458135,3462957,6,"bol","bir",3458823,3462639,"567",3461078,3461088,3461076,"sacc",9.419,2,3461058,3461080,22,498,583.3,2.10691,155.61,90.5308695652174,"NO",NA,3461081,3461530,449,"No",NA,NA,NA,NA,"Yes",NA
"62",3,3,"identical",62,"exp_1",3464902,3467901,5,"nar","identical",3465338,3467585,"400",3466269,3466277,3466266,"identical",7.415,3,3466259,3466280,21,386.5,454.3,1.67466,150.670000000001,75.335,"NO",NA,3466281,3466576,295,"No",NA,NA,NA,NA,NA,NA
"63",3,27,"identical",63,"exp_1",3470855,3476554,6,"ile","identical",3471624,3476240,"496",3473256,3473264,3473254,"identical",7.274,2,3473250,3473268,18,489,542.4,1.31898,128.440000000001,67.405,"NO",NA,3473269,3473501,232,"No",NA,NA,NA,NA,NA,NA
"64",3,63,"identical",64,"exp_1",3478603,3482916,9,"k?z","identical",3479107,3482598,"664",3481443,3481451,3481441,"identical",8.021,2,3481426,3481453,27,605.2,702.3,2.39837,198.834999999999,85.215,"NO",NA,3481454,3481751,297,"No",NA,NA,NA,NA,NA,NA
"65",3,81,"identical",65,"exp_1",3484923,3490110,6,"ile","identical",3486328,3489793,"618",3487520,3487529,3487519,"identical",8.453,1,3487495,3487524,29,495.8,632.6,3.37896,280.344999999999,111.891,"NO",NA,3487525,3487738,213,"No",NA,NA,NA,NA,NA,NA
"66",3,71,"identical",66,"exp_1",3492066,3495554,5,"iyi","identical",3492572,3495242,"450",3493703,3493711,3493701,"identical",7.243,2,3493692,3493713,21,418.9,495.2,1.88461,149.435,84.0361363636364,"NO",NA,3493714,3493922,208,"No",NA,NA,NA,NA,NA,NA
"67",3,33,"identical",67,"exp_1",3497378,3501690,7,"eve","identical",3497869,3500192,"617",3499255,3499263,3499253,"identical",7.012,2,3499241,3499260,19,577.2,643.7,1.64255,143.259999999999,79.59575,"NO",NA,3499261,3499354,93,"Yes","RIGHT","left",1173.108,0,NA,NA
"68",3,75,"identical",68,"exp_1",3503749,3509419,6,"?ok","identical",3504660,3509104,"508",3506405,3506412,3506403,"identical",6.514,2,3506588,3506607,19,523.1,590.8,1.67219,205.01,80.769,"NO",NA,3506405,3506587,182,"No",NA,NA,NA,NA,NA,NA
"69",3,6,"ben",69,"exp_1",3511326,3515046,6,"toz","bir",3511826,3514730,"460",3513437,3513444,3513435,"sacc",7.155,2,3513423,3513440,17,418.9,478,1.45977,139.555,79.04,"NO",NA,3513441,3513779,338,"No",NA,NA,NA,NA,"Yes",NA
"70",3,54,"ben",70,"exp_1",3517185,3521448,7,"?t?","ben",3517757,3521130,"654",3519081,3519088,3519078,"fix",6.958,3,3519576,3519597,21,650.9,732.1,2.00564,171.665,88.3586363636364,"NO",NA,3519598,3519948,350,"No",NA,NA,NA,NA,"Yes",NA
"71",3,67,"identical",71,"exp_1",3523274,3527268,6,"ama","identical",3524490,3526948,"522",3525905,3525912,3525902,"identical",6.812,3,3525882,3525910,28,440.8,552.2,2.75158,172.9,93.5193103448276,"NO",NA,3525911,3526266,355,"No",NA,NA,NA,NA,NA,NA
"72",3,42,"ben",72,"exp_1",3530266,3533228,5,"ay?","ben",3531285,3532917,"413",3532158,3532165,3532156,"sacc",6.457,2,3532151,3532169,18,402.7,466.1,1.56598,138.32,81.185,"NO",NA,3532170,3532341,171,"No",NA,NA,NA,NA,"Yes",NA
"73",3,62,"ben",73,"exp_1",3535187,3538322,4,"kot","ben",3536040,3538003,"413",3536742,3536749,3536739,"sacc",6.603,3,3536718,3536745,27,316.4,427.2,2.73676,179.075,97.4767857142857,"NO",NA,3536746,3537023,277,"No",NA,NA,NA,NA,"Yes",NA
"74",3,35,"identical",74,"exp_1",3540251,3544942,6,"eve","identical",3540791,3544631,"544",3541965,3541971,3541963,"identical",5.861,2,3542173,3542197,24,541.8,638.8,2.3959,205.009999999999,97.8613999999999,"NO",NA,3542198,3542391,193,"No",NA,NA,NA,NA,NA,NA
"75",3,78,"ben",75,"exp_1",3546996,3550352,5,"g?n","ben",3547848,3550036,"473",3548976,3548983,3548974,"sacc",6.622,2,3548956,3548982,26,372.5,497.3,3.08256,234.65,113.208333333333,"NO",NA,3548983,3549347,364,"No",NA,NA,NA,NA,"Yes",NA
"76",3,36,"ben",76,"exp_1",3552452,3556205,7,"?ok","bir",3553012,3555886,"591",3554321,3554331,3554318,"sacc",9.281,3,3554299,3554324,25,509.4,608.5,2.44777,172.9,94.2875,"NO",NA,3554325,3554604,279,"No",NA,NA,NA,NA,"Yes",NA
"77",3,32,"ben",77,"exp_1",3558143,3561899,4,"s?t","bir",3558619,3561580,"377",3559630,3559636,3559627,"sacc",5.868,3,3559616,3559636,20,343.8,401.4,1.42272,108.68,67.73975,"NO",NA,3559637,3560304,667,"No",NA,NA,NA,NA,"Yes",NA
"78",3,46,"ben",78,"exp_1",3563767,3568243,4,"?ok","ben",3564249,3567929,"268",3565904,3565914,3565902,"sacc",9.483,2,3565889,3565908,19,223.6,286,1.54128,138.32,75.582,"NO",NA,3565909,3566347,438,"No",NA,NA,NA,NA,"Yes",NA
"79",3,70,"ben",79,"exp_1",3570076,3573530,6,"iyi","ben",3570715,3573209,"545",3571684,3571691,3571681,"fix",6.761,3,3571862,3571888,26,546.6,644,2.40578,200.070000000001,88.2338888888889,"NO",NA,3571680,3571861,181,"No",NA,NA,NA,NA,"Yes",NA
"80",3,79,"identical",80,"exp_1",3575601,3579307,7,"kol","identical",3576221,3578993,"676",3577914,3577923,3577912,"identical",8.43,2,3577895,3577918,23,614.5,699.4,2.09703,182.779999999999,86.0897916666666,"NO",NA,3577919,3578115,196,"No",NA,NA,NA,NA,NA,NA
"81",3,14,"ben",81,"exp_1",3581409,3585876,5,"?am","bir",3581956,3585562,"545",3582856,3582866,3582855,"sacc",9.426,1,3582838,3582866,28,469,589.2,2.96894,203.775,104.842678571429,"NO",NA,3582867,3583180,313,"No",NA,NA,NA,NA,"Yes",NA
"82",3,66,"ben",82,"exp_1",3587787,3590770,6,"hi?","ben",3588280,3590455,"617",3589325,3589331,3589323,"sacc",5.362,2,3589302,3589335,33,446.9,680.3,5.76498,361.855000000001,169.521911764706,"NO",NA,3589336,3589597,261,"No",NA,NA,NA,NA,"Yes",NA
"83",3,1,"identical",83,"exp_1",3592658,3596856,6,"ile","identical",3593152,3595324,"484",3594192,3594199,3594190,"identical",6.42,2,3594418,3594452,34,482.6,661.6,4.4213,314.925,126.287571428571,"NO",NA,3594188,3594417,229,"Yes","LEFT","left",1191.987,1,NA,NA
"84",3,24,"ben",84,"exp_1",3598660,3602141,7,"eko","bir",3599137,3601826,"653",3601096,3601102,3601093,"sacc",5.759,3,3601081,3601105,24,620.2,702.1,2.02293,155.609999999999,80.4726,"NO",NA,3601106,3601520,414,"No",NA,NA,NA,NA,"Yes",NA
"85",3,77,"identical",85,"exp_1",3603906,3608244,5,"gri","identical",3604439,3606809,"436",3605525,3605532,3605523,"identical",6.425,2,3605506,3605527,21,374.5,445.8,1.76111,151.905,79.3206818181818,"NO",NA,3605528,3605920,392,"Yes","RIGHT","left",1110.517,0,NA,NA
"86",3,56,"ben",86,"exp_1",3611416,3616864,7,"kez","ben",3612239,3616550,"738",3614277,3614287,3614275,"fix",9.838,2,3614589,3614613,24,750.8,827,1.88214,135.85,75.088,"NO",NA,3614278,3614588,310,"No",NA,NA,NA,NA,"Yes",NA
"87",3,41,"identical",87,"exp_1",3618680,3623509,4,"ter","identical",3619263,3623190,"376",3620535,3620544,3620533,"identical",8.701,2,3620519,3620547,28,324.3,447.6,3.04551,226.005,104.889827586207,"NO",NA,3620548,3620921,373,"No",NA,NA,NA,NA,NA,NA
