"","sub","item","cond","boundaryN","wordN","word","trial_type"
"341",1,149,"identical",6,3,"aile","exp_2"
"342",1,149,"identical",6,4,"Kas?m","exp_2"
"343",1,149,"identical",6,5,"ay?n?n","exp_2"
"344",1,149,"identical",6,6,"ilk","exp_2"
"345",1,149,"identical",6,7,"haftas?","exp_2"
"346",1,149,"identical",6,8,"gidece?iz","exp_2"
"347",1,149,"identical",6,9,"ve","exp_2"
"348",1,149,"identical",6,10,"sizin","exp_2"
"349",1,149,"identical",6,11,"de","exp_2"
"350",1,149,"identical",6,12,"gelmenizi","exp_2"
"351",1,149,"identical",6,13,"?ok","exp_2"
"352",1,149,"identical",6,14,"istiyoruz.","exp_2"
"353",1,112,"ben",7,1,"Bug?n","exp_2"
"354",1,112,"ben",7,2,"hava","exp_2"
"355",1,112,"ben",7,3,"g?zel","exp_2"
"356",1,112,"ben",7,4,"oldu?u","exp_2"
"357",1,112,"ben",7,5,"i?in","exp_2"
"358",1,112,"ben",7,6,"bah?ede","exp_2"
"359",1,112,"ben",7,7,"top","exp_2"
"360",1,112,"ben",7,8,"oynad?k","exp_2"
"361",1,112,"ben",7,9,"ama","exp_2"
"362",1,112,"ben",7,10,"?ok","exp_2"
"363",1,112,"ben",7,11,"fazla","exp_2"
"364",1,112,"ben",7,12,"terledik.","exp_2"
"365",1,139,"identical",6,1,"Do?um","exp_2"
"366",1,139,"identical",6,2,"g?n?n?","exp_2"
"367",1,139,"identical",6,3,"unuttu?um","exp_2"
"368",1,139,"identical",6,4,"i?in","exp_2"
"369",1,139,"identical",6,5,"ablam","exp_2"
"370",1,139,"identical",6,6,"?ok","exp_2"
"371",1,139,"identical",6,7,"k?zd?","exp_2"
"372",1,139,"identical",6,8,"ama","exp_2"
"373",1,139,"identical",6,9,"hediyesini","exp_2"
"374",1,139,"identical",6,10,"g?r?nce","exp_2"
"375",1,139,"identical",6,11,"sakinle?ti.","exp_2"
"376",1,159,"identical",7,1,"D?n","exp_2"
"377",1,159,"identical",7,2,"geceki","exp_2"
"378",1,159,"identical",7,3,"davette","exp_2"
"379",1,159,"identical",7,4,"yemek","exp_2"
"380",1,159,"identical",7,5,"yerken","exp_2"
"381",1,159,"identical",7,6,"elbisem","exp_2"
"382",1,159,"identical",7,7,"ya?","exp_2"
"383",1,159,"identical",7,8,"oldu","exp_2"
"384",1,159,"identical",7,9,"bu","exp_2"
"385",1,159,"identical",7,10,"y?zden","exp_2"
"386",1,159,"identical",7,11,"kuru","exp_2"
"387",1,159,"identical",7,12,"temizlemeye","exp_2"
"388",1,159,"identical",7,13,"b?rakt?m.","exp_2"
"389",1,97,"identical",5,1,"Amerikaya","exp_2"
"390",1,97,"identical",5,2,"gidebilmek","exp_2"
"391",1,97,"identical",5,3,"i?in","exp_2"
"392",1,97,"identical",5,4,"?zel","exp_2"
"393",1,97,"identical",5,5,"jet","exp_2"
"394",1,97,"identical",5,6,"kiralam??t?","exp_2"
"395",1,97,"identical",5,7,"ama","exp_2"
"396",1,97,"identical",5,8,"jetin","exp_2"
"397",1,97,"identical",5,9,"pilotu","exp_2"
"398",1,97,"identical",5,10,"ge?","exp_2"
"399",1,97,"identical",5,11,"kalm??t?.","exp_2"
"400",1,148,"ben",8,1,"Hava","exp_2"
"401",1,148,"ben",8,2,"s?cak","exp_2"
"402",1,148,"ben",8,3,"oldu?u","exp_2"
"403",1,148,"ben",8,4,"zaman","exp_2"
"404",1,148,"ben",8,5,"g?nde","exp_2"
"405",1,148,"ben",8,6,"birka?","exp_2"
"406",1,148,"ben",8,7,"kez","exp_2"
"407",1,148,"ben",8,8,"du?","exp_2"
"408",1,148,"ben",8,9,"al?r?m","exp_2"
"409",1,148,"ben",8,10,"ve","exp_2"
"410",1,148,"ben",8,11,"sa?l?kl?","exp_2"
"411",1,148,"ben",8,12,"olmad???","exp_2"
"412",1,148,"ben",8,13,"i?in","exp_2"
"413",1,148,"ben",8,14,"annem","exp_2"
"414",1,148,"ben",8,15,"bana","exp_2"
"415",1,148,"ben",8,16,"k?zar.","exp_2"
"416",1,107,"identical",5,1,"En","exp_2"
"417",1,107,"identical",5,2,"sevdi?i","exp_2"
"418",1,107,"identical",5,3,"restorana","exp_2"
"419",1,107,"identical",5,4,"karn?","exp_2"
"420",1,107,"identical",5,5,"tok","exp_2"
"421",1,107,"identical",5,6,"gitmi?","exp_2"
"422",1,107,"identical",5,7,"bu","exp_2"
"423",1,107,"identical",5,8,"sebeple","exp_2"
"424",1,107,"identical",5,9,"hi?bir","exp_2"
"425",1,107,"identical",5,10,"?ey","exp_2"
"426",1,107,"identical",5,11,"yiyememi?.","exp_2"
"427",1,95,"identical",5,1,"Basketbol","exp_2"
"428",1,95,"identical",5,2,"ma??","exp_2"
"429",1,95,"identical",5,3,"izlerken","exp_2"
"430",1,95,"identical",5,4,"aniden","exp_2"
"431",1,95,"identical",5,5,"zil","exp_2"
"432",1,95,"identical",5,6,"?ald?","exp_2"
"433",1,95,"identical",5,7,"ve","exp_2"
"434",1,95,"identical",5,8,"ma?","exp_2"
"435",1,95,"identical",5,9,"yar?da","exp_2"
"436",1,95,"identical",5,10,"b?l?nd?.","exp_2"
"437",1,114,"ben",9,1,"Kendine","exp_2"
"438",1,114,"ben",9,2,"kar??","exp_2"
"439",1,114,"ben",9,3,"o","exp_2"
"440",1,114,"ben",9,4,"kadar","exp_2"
"441",1,114,"ben",9,5,"?fkeliydi","exp_2"
"442",1,114,"ben",9,6,"ki","exp_2"
"443",1,114,"ben",9,7,"ba?kalar?na","exp_2"
"444",1,114,"ben",9,8,"da","exp_2"
"445",1,114,"ben",9,9,"kin","exp_2"
"446",1,114,"ben",9,10,"besliyordu","exp_2"
"447",1,114,"ben",9,11,"ve","exp_2"
"448",1,114,"ben",9,12,"ilerde","exp_2"
"449",1,114,"ben",9,13,"bu","exp_2"
"450",1,114,"ben",9,14,"durum","exp_2"
